country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",04-04-2025 14:00:00,16.486692,80.699436,OZONE,20.0,32.0,21.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",04-04-2025 14:00:00,16.509717,80.612222,SO2,10.0,13.0,11.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",04-04-2025 14:00:00,16.509717,80.612222,CO,30.0,41.0,32.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",04-04-2025 14:00:00,16.554731,80.64911,NO2,14.0,18.0,15.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",04-04-2025 14:00:00,17.72,83.3,NO2,28.0,68.0,43.0
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",04-04-2025 14:00:00,27.103358,93.679645,PM10,73.0,141.0,101.0
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",04-04-2025 14:00:00,26.071318,91.87488,PM2.5,90.0,468.0,316.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",04-04-2025 14:00:00,26.10887,91.589544,NO2,19.0,22.0,20.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",04-04-2025 14:00:00,26.10887,91.589544,CO,6.0,48.0,18.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",04-04-2025 14:00:00,26.181742,91.78063,PM2.5,100.0,345.0,246.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",04-04-2025 14:00:00,26.181742,91.78063,NO2,3.0,3.0,3.0
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",04-04-2025 14:00:00,13.615387,79.40923,OZONE,12.0,17.0,16.0
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",04-04-2025 14:00:00,16.536107,80.594233,NO2,13.0,23.0,15.0
